lmh      1872562  5.4  0.3 129925468 3977460 pts/10 Sl 02:08   0:55 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1876286  2.1  0.1 202865244 1721660 pts/10 Sl 02:10   0:18 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1876349  3.9  0.1 293808096 1698256 pts/10 Sl 02:10   0:34 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_2 hydra.output_subdir=null
lmh      1876381  2.0  0.2 204106988 2964308 pts/10 Sl 02:10   0:18 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1876382  3.8  0.3 277295048 3937524 pts/10 Sl 02:10   0:34 python src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"]
lmh      1876445  3.6  0.2 279418340 2847396 pts/10 Sl 02:10   0:32 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_1 hydra.output_subdir=null
lmh      1876477  4.6  0.2 295207804 3097812 pts/10 Sl 02:10   0:40 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_2 hydra.output_subdir=null
lmh      1876478  3.4  0.3 205070796 3927936 pts/10 Sl 02:10   0:29 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1876605  3.7  0.2 278970292 2397756 pts/10 Sl 02:10   0:33 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_1 hydra.output_subdir=null
lmh      1876637  4.6  0.5 297399488 5295680 pts/10 Sl 02:10   0:41 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_2 hydra.output_subdir=null
lmh      1876669  3.9  0.3 277274364 3916880 pts/10 Sl 02:10   0:34 python src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"]
lmh      1876701  5.1  0.1 202805828 1678044 pts/10 Sl 02:10   0:45 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1876733  5.8  1.0 303429968 11339424 pts/10 Sl 02:10   0:51 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_2 hydra.output_subdir=null
lmh      1876765  3.2  0.1 278237352 1666372 pts/10 Sl 02:10   0:28 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_1 hydra.output_subdir=null
lmh      1876797  2.8  0.1 275076048 1712540 pts/10 Sl 02:10   0:24 python src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"]
lmh      1876829  4.7  0.1 202762484 1628488 pts/10 Sl 02:10   0:41 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1876861  3.9  0.3 295671448 3554244 pts/10 Sl 02:10   0:34 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_2 hydra.output_subdir=null
lmh      1876893  2.3  0.2 203893368 2750004 pts/10 Sl 02:10   0:20 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1876894  3.1  0.1 275120772 1758124 pts/10 Sl 02:10   0:27 python src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"]
lmh      1876957  4.4  0.6 282914656 6357532 pts/10 Sl 02:10   0:39 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_1 hydra.output_subdir=null
lmh      1876989  3.5  0.3 296094436 3980448 pts/10 Sl 02:10   0:31 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_2 hydra.output_subdir=null
lmh      1877021  2.2  0.2 203749712 2604620 pts/10 Sl 02:10   0:19 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1877053  3.9  0.1 275006384 1649028 pts/10 Sl 02:10   0:34 python src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"]
lmh      1877085  3.8  0.4 206225020 5085680 pts/10 Sl 02:10   0:33 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1877117  3.3  0.2 295013604 2896348 pts/10 Sl 02:10   0:29 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_2 hydra.output_subdir=null
lmh      1877143  3.2  0.3 280421144 3850456 pts/10 Sl 02:10   0:28 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_1 hydra.output_subdir=null
lmh      1877181  4.5  0.4 278366488 5008788 pts/10 Sl 02:10   0:39 python src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"]
lmh      1877213  3.5  0.3 204392832 3248852 pts/10 Sl 02:10   0:31 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1877245  4.1  0.3 296045356 3932672 pts/10 Sl 02:10   0:36 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_2 hydra.output_subdir=null
lmh      1877246  4.4  0.4 281598892 5034924 pts/10 Sl 02:10   0:38 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_1 hydra.output_subdir=null
lmh      1877309  4.6  0.2 276411964 3063012 pts/10 Sl 02:10   0:40 python src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"]
lmh      1877310  2.9  0.1 202843292 1700152 pts/10 Sl 02:10   0:25 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1877373  5.4  0.6 298570612 6479940 pts/10 Sl 02:10   0:48 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_2 hydra.output_subdir=null
lmh      1877405  4.1  0.5 281917284 5359572 pts/10 Sl 02:10   0:36 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_1 hydra.output_subdir=null
lmh      1877406  3.6  0.3 205059848 3921576 pts/10 Sl 02:10   0:32 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1877501  3.6  0.1 293843132 1727868 pts/10 Sl 02:10   0:32 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_2 hydra.output_subdir=null
lmh      1877533  4.3  0.1 202819560 1684508 pts/10 Sl 02:10   0:38 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1877566  3.8  0.5 281894648 5328560 pts/10 Sl 02:10   0:33 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_1 hydra.output_subdir=null
lmh      1877629  4.0  0.3 296075820 3969500 pts/10 Sl 02:10   0:35 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_2 hydra.output_subdir=null
lmh      1877630  2.7  0.3 204794016 3649692 pts/10 Sl 02:10   0:24 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1877699  2.7  0.3 279827348 3256700 pts/10 Sl 02:10   0:24 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_1 hydra.output_subdir=null
lmh      1877700  3.9  0.4 297294240 5181408 pts/10 Sl 02:10   0:34 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_2 hydra.output_subdir=null
lmh      1877758  4.1  0.3 277100668 3743800 pts/10 Sl 02:10   0:36 python src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"]
lmh      1877764  2.7  0.1 202899636 1756440 pts/10 Sl 02:10   0:24 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
